wsi_oid,wds_id,wds_dd,wds_comp,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2,wds_coord1,wds_mag1,wds_mag2,wds_pm1_ra,wds_pm1_dec,wds_pm2_ra,wds_pm2_dec,wds_notes,wds_pm1,wds_pm2,wds_ra1_J2000,wds_dec1_J2000,wds_ra2_J2000,wds_dec2_J2000,wds_ra1_J2016,wds_dec1_J2016,wds_ra2_J2016,wds_dec2_J2016,epoch_prop_flag,gaia_id1,gaia_mag1,gaia_pm1,wds_gaia_dm1,wds_gaia_sep1,gaia_flag1,gaia_id2,gaia_mag2,gaia_pm2,wds_gaia_dm2,wds_gaia_sep2,gaia_flag2,xm_chk1,xm_chk2,jxm_id1,jxm_chk,sb_jxm_chk
0,18124-0718,"A    36A,BC","A,BC",2020.5356,V,71.2909,0.0207,39.0,0.02,5.6,0.0,*,1,1,Gaia DR3 4160558188577118848,,.,$,18 12 24.02 -07 17 49.1,7.78,11.03,-22.0,-50.0,-13.0,8.0,,54.62600113499065,15.264337522473747,273.10008333333326,-7.29697222222222,273.11264710622834,-7.281582205734789,273.09998475715537,-7.2971944444303105,273.11258885870353,-7.281546650176064,,Gaia DR3 4160558188577118848,7.6010613,55.996292,0.1789388656616211,0.0836328132203819,.,Gaia DR3 4160559700381851520,11.485186,9.54164,0.4551858901977539,1.0959631052957206,.,True,False,Gaia DR3 4160558188577118848,True,True
1,18124-0718,"A    36A,BC","A,BC",2020.5356,y,71.1704,0.0264,38.95,0.02,5.5,0.0,*,1,1,Gaia DR3 4160558188577118848,,.,$,18 12 24.02 -07 17 49.1,7.78,11.03,-22.0,-50.0,-13.0,8.0,,54.62600113499065,15.264337522473747,273.10008333333326,-7.29697222222222,273.11261234938473,-7.281597368190606,273.09998475715537,-7.2971944444303105,273.112554101858,-7.281561812631877,,Gaia DR3 4160558188577118848,7.6010613,55.996292,0.1789388656616211,0.0836328132203819,.,Gaia DR3 4160559700381851520,11.485186,9.54164,0.4551858901977539,1.0650277301372992,.,True,False,Gaia DR3 4160558188577118848,True,True
2,05192-0304,A    53AB,AB,2022.0851,y,1.683,0.0164,294.29,0.58,3.4,0.0236,*,3,1,Gaia DR3 3213958769587525888,Gaia DR3 3213958769589070848,.,.,05 19 12.66 -03 04 25.7,7.97,11.4,700.0,138.0,653.0,99.0,NT,713.4731950115576,660.4619595404416,79.80274999999999,-3.0738055555555563,79.80232327153566,-3.07361324687592,79.80586559170534,-3.073192217696913,79.80522967346099,-3.073173242936454,,Gaia DR3 3213958769587525888,7.4928217,713.3505,0.4771780967712402,0.042031158970536,.,Gaia DR3 3213958769589070848,10.098277,,1.301722526550293,1.30841988739532,.,True,True,Gaia DR3 3213958769587525888,True,True
3,06486-0405,A    58AB,AB,2021.1702,y,5.0778,0.0023,161.43,0.03,1.3,0.0,*,1,1,Gaia DR3 3102372804823185920,Gaia DR3 3102372804823186176,.,.,06 48 35.78 -04 04 32.6,7.37,8.66,-49.0,-81.0,-49.0,-81.0,L,94.66784036831092,94.66784036831093,102.14908333333332,-4.075722222222222,102.14953366505728,-4.077059284818756,102.14886500330232,-4.076082222187141,102.14931533466314,-4.077419284783665,,Gaia DR3 3102372804823185920,7.1928306,94.680885,0.1771693229675293,0.7560425219945498,.,Gaia DR3 3102372804823186176,8.301079,105.791466,0.3589210510253906,0.7208606335187046,.,True,True,Gaia DR3 3102372804823185920,True,True
4,05424+1259,A   116,AB,2022.1066,y,1.6954,0.0136,291.63,0.46,3.2,0.0,:,1,1,,,$,$,05 42 22.55 +12 58 40.6,8.93,12.4,-8.0,-7.0,$,$,,10.63014581273465,$,85.59395833333333,12.977944444444448,85.5935090752049,12.978118039517977,85.59392184576572,12.977913333331276,85.59347258761181,12.978086928404808,!,Gaia DR3 3340534342021498112,8.867665,7.3959866,0.0623350143432617,0.1718652836167417,.,Gaia DR3 3340534342018616064,11.511905,8.572485,0.8880949020385742,0.2355181414500227,.,False,False,Gaia DR3 3340534342021498112,True,False
5,14220+5107,A   148,AB,2021.3103,y,0.4848,0.0005,191.04,0.06,0.5,0.0,,1,1,Gaia DR3 1604722141111356288,,.,$,14 22 01.20 +51 06 40.3,8.32,8.96,17.0,45.0,17.0,45.0,,48.104053883222775,48.104053883222775,215.505,51.11119444444444,215.5049589242313,51.11106226994767,215.50512034813383,51.11139444437957,215.5050792720209,51.1112622698828,,Gaia DR3 1604722141111356288,8.392113,,0.072113037109375,0.492529984763319,.,,,,,,$,True,False,Gaia DR3 1604722141111356288,True,True
6,19273+2040,A   159AB,AB,2020.5765,V,0.7889,0.0,331.68,0.0,3.7,0.0,,1,1,Gaia DR3 2017928059787352320,Gaia DR3 2017928059758426240,.,.,19 27 20.85 +20 40 08.0,8.5,10.43,2.0,-13.0,4.0,-6.0,,13.152946437965904,7.211102550927978,291.836875,20.66888888888889,291.8367638898466,20.66908179940564,291.83688450036874,20.66883111111175,291.83678289061214,20.669055132738343,,Gaia DR3 2017928059787352320,8.31818,6.8560495,0.1818199157714843,0.0703140232304281,.,Gaia DR3 2017928059758426240,10.730407,6.465528,0.3004064559936523,0.0279042612184586,.,True,True,Gaia DR3 2017928059787352320,True,True
7,19273+2040,A   159AB,AB,2020.5765,y,0.7942,0.0,336.37,0.0,2.8,0.0,,1,1,Gaia DR3 2017928059787352320,Gaia DR3 2017928059758426240,.,.,19 27 20.85 +20 40 08.0,8.5,10.43,2.0,-13.0,4.0,-6.0,,13.152946437965904,7.211102550927978,291.836875,20.66888888888889,291.8367804895093,20.669091002390388,291.83688450036874,20.66883111111175,291.836799490276,20.669064335723093,,Gaia DR3 2017928059787352320,8.31818,6.8560495,0.1818199157714843,0.0703140232304281,.,Gaia DR3 2017928059758426240,10.730407,6.465528,0.3004064559936523,0.0372472089274414,.,True,True,Gaia DR3 2017928059787352320,True,True
8,02172+3729,A   206AB,AB,2021.8467,y,0.3262,0.0039,152.54,0.68,2.0,0.0,:,1,1,Gaia DR3 331280246407595264,,.,$,02 17 11.90 +37 29 00.2,9.23,10.8,23.0,-25.0,$,$,,33.97057550292606,$,34.29958333333334,37.48338888888889,34.29963598843069,37.48330848665011,34.299712152778866,37.48327777770957,34.29976480773759,37.4831973754708,!,Gaia DR3 331280246407595264,9.2483225,29.198175,0.0183229446411132,0.0641655421644754,.,,,,,,$,True,False,Gaia DR3 331280246407595264,True,True
9,02584-0135,A   208AB,AB,2022.0298,y,0.5132,0.0031,305.22,1.63,0.8,0.2722,:,2,1,,,$,$,02 58 23.93 -01 34 51.2,9.26,10.07,14.0,13.0,14.0,13.0,N,19.1049731745428,19.1049731745428,44.599708333333325,-1.5808888888888886,44.59959182913942,-1.5808066745993847,44.59977057924534,-1.5808311111110742,44.59965407504897,-1.5807488968215708,,Gaia DR3 5187688381757000064,8.951077,,0.3089227676391601,0.17205146309542,.,,,,,,$,False,False,Gaia DR3 5187688381757000064,True,False
10,09260+2839,A   222,AB,2022.1999,y,0.3852,0.0011,359.76,0.33,0.7,0.1087,:,3,1,Gaia DR3 695443342248789504,,.,$,09 26 02.33 +28 39 01.5,9.13,9.41,-82.0,-81.0,$,$,NO,115.26057435220424,$,141.50970833333332,28.65041666666667,141.50970782260018,28.650523665727963,141.50929304252787,28.650056666039,141.509292531371,28.650163665100287,!,Gaia DR3 695443342248789504,8.993193,,0.1368074417114257,0.719816607580903,.,,,,,,$,True,False,Gaia DR3 695443342248789504,True,True
11,01343-0827,A   314,AB,2021.8838,y,0.4686,0.0072,2.38,0.86,1.5,0.1,q,6,2,Gaia DR3 2477163177273324544,,.,$,01 34 19.42 -08 27 27.3,8.8,9.1,-13.0,-59.0,$,$,NO,60.41522986797286,$,23.580916666666667,-8.457583333333332,23.580922131511983,-8.45745327895014,23.58085825360948,-8.457845555547156,23.580863718474507,-8.457715501163964,!,Gaia DR3 2477163177273324544,8.285848,,0.5141525268554688,0.938812234786546,.,,,,,,$,True,False,Gaia DR3 2477163177273324544,True,True
12,07237-0528,A   333,AB,2022.1261,y,0.809,0.0086,334.47,1.03,2.4,0.008,:,2,1,,,$,$,07 23 40.98 -05 27 55.6,8.4,10.8,8.0,9.0,$,$,,12.041594578792296,$,110.92075,-5.4654444444444445,110.92065270611842,-5.465241664149348,110.9207857179327,-5.465404444444009,110.920688424039,-5.465201664148912,!,Gaia DR3 3058586781474760064,8.358823,11.427237,0.0411767959594726,0.1170218173952909,.,,,,,,$,False,False,Gaia DR3 3058586781474760064,True,False
13,19594+3206,A   378,AB,2021.5704,y,0.9232,0.0006,291.4,0.04,0.9,0.0,,1,1,Gaia DR3 2033994119367185920,Gaia DR3 2033994123709274624,.,.,19 59 22.02 +32 06 28.0,8.48,8.98,2.0,-13.0,2.0,-13.0,O,13.152946437965904,13.152946437965905,299.84175000000005,32.10777777777778,299.84146812242625,32.10787134808986,299.84176049393244,32.10772000000047,299.84147861636944,32.107813570312544,,Gaia DR3 2033994119367185920,8.132077,13.138409,0.3479223251342773,0.4115935253105798,.,Gaia DR3 2033994123709274624,8.846663,14.437653,0.133336067199707,0.4121148438004688,.,True,True,Gaia DR3 2033994119367185920,True,True
14,20080+4204,A   383,AB,2021.8053,y,0.2833,0.0344,2.33,9.56,0.1,0.1474,:,3,1,,,$,$,20 08 00.45 +42 03 39.4,10.37,10.43,-6.0,-4.0,-6.0,-4.0,O,7.211102550927978,7.211102550927978,302.001875,42.06094444444445,302.0018793092444,42.0610230738278,302.0018390820507,42.06092666666135,302.0018433912506,42.06100529604469,,Gaia DR3 2074817787830234624,10.202112,,0.1678876876831054,0.1943529592810883,.,,,,,,$,False,False,Gaia DR3 2074817787830234624,True,False
15,23561+2520,A   426,AB,2021.7456,y,0.3608,0.0077,282.89,0.58,0.4,0.0694,:,3,1,Gaia DR3 2851814170936555776,,.,$,23 56 07.61 +25 20 26.4,9.26,9.92,79.0,59.0,$,$,NO,98.60020283954796,$,359.0317083333333,25.340666666666664,359.0316002353857,25.34068902419902,359.0320968263915,25.340928888375345,359.0319887285157,25.340951245907696,!,Gaia DR3 2851814170936555776,8.990467,,0.2695331573486328,0.9143782503772218,.,,,,,,$,True,False,Gaia DR3 2851814170936555776,True,True
16,23561+2520,A   426,AB,2021.8758,y,0.3273,0.0239,279.82,1.15,0.3,0.3771,:,7,3,Gaia DR3 2851814170936555776,,.,$,23 56 07.61 +25 20 26.4,9.26,9.92,79.0,59.0,$,$,NO,98.60020283954796,$,359.0317083333333,25.340666666666664,359.03160921108554,25.34068217278566,359.0320968263915,25.340928888375345,359.0319977041936,25.340944394494336,!,Gaia DR3 2851814170936555776,8.990467,,0.2695331573486328,0.9143782503772218,.,,,,,,$,True,False,Gaia DR3 2851814170936555776,True,True
17,00039+2759,A   429AB,AB,2020.8815,y,0.5332,0.0253,326.52,1.42,1.3,0.0731,:,2,1,,,$,$,00 03 53.34 +27 58 49.7,9.3,9.43,14.0,-1.0,14.0,-1.0,,14.0356688476182,14.035668847618199,0.97225,27.98047222222221,0.9721574801517148,27.980595758474827,0.9723204582570726,27.98046777775989,0.9722279384894968,27.9805913140125,,Gaia DR3 2854107442954122624,9.074927,9.735666,0.2250728607177734,0.1529659618855095,.,Gaia DR3 2854107442952835584,9.535964,,0.1059637069702148,0.1289331681492294,.,False,False,Gaia DR3 2854107442954122624,True,False
18,02453-0529,A   453,AB,2022.0299,V,0.9269,0.0054,90.97,0.33,0.7,0.0,:,1,1,,,$,$,02 45 15.69 -05 28 58.7,10.07,10.44,6.0,-14.0,6.0,-14.0,,15.231546211727816,15.231546211727817,41.315375,-5.482972222222222,41.31563361860084,-5.482976580884358,41.31540178923947,-5.483034444442883,41.31566040784051,-5.483038803105019,,Gaia DR3 5184813463792654336,9.781882,16.73755,0.2881174087524414,0.1083790975729722,.,Gaia DR3 5184813468087426048,10.363702,,0.0762977600097656,0.100729949440007,.,False,False,Gaia DR3 5184813463792654336,True,False
19,02453-0529,A   453,AB,2022.0299,y,0.9491,0.0108,97.32,0.65,0.4,0.0,:,1,1,,,$,$,02 45 15.69 -05 28 58.7,10.07,10.44,6.0,-14.0,6.0,-14.0,,15.231546211727816,15.231546211727817,41.315375,-5.482972222222222,41.31563769216563,-5.48300581261653,41.31540178923947,-5.483034444442883,41.31566448140661,-5.483068034837192,,Gaia DR3 5184813463792654336,9.781882,16.73755,0.2881174087524414,0.1083790975729722,.,Gaia DR3 5184813468087426048,10.363702,,0.0762977600097656,0.0100397631259541,.,False,False,Gaia DR3 5184813463792654336,True,False
20,05043-0602,A   481AB,AB,2022.085,y,0.4234,0.0096,280.35,0.99,1.3,0.0665,q,3,1,Gaia DR3 3211296783218366336,,.,$,05 04 18.00 -06 01 52.7,7.07,8.96,-1.0,6.0,-1.0,6.0,O,6.082762530298219,6.082762530298219,76.07499999999999,-6.031305555555555,76.07488365859518,-6.031284425442949,76.07499553081726,-6.031278888889283,76.07487918941264,-6.031257758776678,,Gaia DR3 3211296783218366336,7.1463275,7.0536437,0.0763273239135742,0.0639840154516636,.,,,,,,$,True,False,Gaia DR3 3211296783218366336,True,True
21,05487-0856,A   499AB,AB,2021.0583,V,12.0558,0.0193,239.36,0.09,3.4,0.0,,1,1,Gaia DR3 3012451990824399872,,.,$,05 48 40.01 -08 55 51.7,8.27,10.51,89.0,-158.0,21.0,21.0,L,181.34221791960084,29.698484809834994,87.16670833333332,-8.931027777777775,87.16379166722082,-8.93273447318918,87.16710874425077,-8.93172999977448,87.16388614643749,-8.932641139845346,,Gaia DR3 3012451990824399872,8.007712,179.62346,0.2622880935668945,0.0486982177809024,.,Gaia DR3 3012451892042181632,10.461227,26.612001,0.0487728118896484,4.041544284221206,.,True,False,Gaia DR3 3012451990824399872,True,True
22,07378-0236,"A   534AB,C","AB,C",2022.1261,y,1.4322,0.0104,305.18,0.41,3.0,0.0542,:,2,1,Gaia DR3 3060924751210213888,,.,$,07 37 48.94 -02 35 49.4,7.94,10.61,-10.0,-30.0,-8.0,-27.0,L,31.6227766016838,28.160255680657446,114.45391666666666,-2.597055555555556,114.4535911648946,-2.596826345014828,114.45387217652237,-2.59718888888604,114.453555572786,-2.5969463450124675,,Gaia DR3 3060924751210213888,7.8735304,31.925833,0.066469669342041,0.1514704000542,.,Gaia DR3 3060924755505142784,10.398122,,0.2118778228759765,0.1176106040823626,.,True,False,Gaia DR3 3060924751210213888,True,True
23,10370-0850,A   556AB,AB,2021.3019,y,0.916,0.0144,215.67,1.28,2.9,0.0029,,2,1,Gaia DR3 3762120497774235648,,.,$,10 37 00.02 -08 50 23.6,7.1,9.8,-94.0,-49.0,-101.0,-74.0,NO,106.00471687618432,125.2078272313676,159.25008333333332,-8.839888888888892,159.24993317905495,-8.840095596715857,159.24966053313975,-8.840106666426406,159.2494788933487,-8.840424485326151,,Gaia DR3 3762120497774235648,6.9872932,92.853455,0.1127066612243652,0.0839472089625942,.,,,,,,$,True,False,Gaia DR3 3762120497774235648,True,True
24,20519+0544,A   613,AB,2021.845,y,0.6235,0.0012,314.69,0.03,0.4,0.05,q,6,2,,,$,$,20 51 54.49 +05 44 29.5,9.1,9.03,75.0,-4.0,75.0,-4.0,O,75.1065909225016,75.1065909225016,312.97704166666665,5.741527777777779,312.976917918053,5.741649580331259,312.9773766806416,5.741509999902788,312.9772529320996,5.741631802456263,,Gaia DR3 1735730802690292608,8.910222,77.08755,0.1897783279418945,0.0392837485803265,.,Gaia DR3 1735730806984435712,8.884766,74.53485,0.1452341079711914,0.0811407846812367,.,False,False,Gaia DR3 1735730802690292608,True,False
25,22520+5743,A   632,AB,2021.7838,y,0.3449,0.0204,94.61,4.36,0.6,0.1633,,9,3,,,$,$,22 52 00.55 +57 43 00.6,8.59,9.32,-93.0,-220.0,$,$,NO,238.8493248891443,$,343.0022916666667,57.71683333333333,343.0024704625436,57.71682563303761,343.0015178058284,57.71585555321099,343.00169660187004,57.71584785291528,!,Gaia DR3 2007176176083408640,8.176756,,0.4132442474365234,0.223119972724539,.,,,,,,$,False,False,Gaia DR3 2007176176083408640,True,False
26,22520+5743,A   632,AB,2021.9503,y,0.3594,0.0165,92.67,1.28,0.7,0.0829,q,3,1,,,$,$,22 52 00.55 +57 43 00.6,8.59,9.32,-93.0,-220.0,$,$,NO,238.8493248891443,$,343.0022916666667,57.71683333333333,343.0024783811332,57.716828682617184,343.0015178058284,57.71585555321099,343.0017045203944,57.71585090249484,!,Gaia DR3 2007176176083408640,8.176756,,0.4132442474365234,0.223119972724539,.,,,,,,$,False,False,Gaia DR3 2007176176083408640,True,False
27,00205+4531,A   647,AB,2021.9505,y,0.7279,0.0008,90.61,0.06,2.2,0.0,q,1,1,,,$,$,00 20 33.00 +45 30 32.2,7.17,9.56,64.0,-18.0,64.0,-18.0,O,66.48308055437865,66.48308055437865,5.137499999999998,45.50894444444445,5.137788503967672,45.50894229145713,5.137905885964554,45.50886444372697,5.138194389916702,45.50886229073966,,Gaia DR3 391885121171018624,7.007338,65.8437,0.1626620292663574,0.0505780377659866,.,Gaia DR3 391885121168953600,9.0230255,,0.5369749069213867,0.1040660811146979,.,False,False,Gaia DR3 391885121171018624,True,False
28,00298+6904,A   649,AB,2021.9505,y,0.4284,0.0025,138.77,0.33,0.3,0.0,:,1,1,Gaia DR3 529716187982962560,Gaia DR3 529716187981171840,.,.,00 29 49.39 +69 04 29.4,9.6,9.58,-4.0,-11.0,-4.0,-11.0,,11.704699910719626,11.704699910719626,7.455791666666667,69.07483333333333,7.456011268985803,69.07474383687284,7.455741889760174,69.074784444438,7.455961492282653,69.0746949479775,,Gaia DR3 529716187982962560,9.388861,14.724448,0.2111396789550781,0.1035423560887327,!,Gaia DR3 529716187981171840,9.414448,,0.1655521392822265,0.928408444186142,.,True,True,Gaia DR3 529716187982962560,True,True
29,00434+4726,A   651,AB,2021.9332,y,0.9426,0.0057,137.42,0.36,1.3,0.1414,:,9,3,Gaia DR3 390034814901709440,Gaia DR3 390034814898746112,.,.,00 43 22.78 +47 26 18.8,9.67,10.2,94.0,-19.0,94.0,-19.0,O,95.90099061010788,95.90099061010788,10.844916666666665,47.43855555555555,10.84517859136628,47.43836275865058,10.845534332481266,47.43847110945378,10.845796254917593,47.438278312548825,,Gaia DR3 390034814901709440,9.280812,96.75988,0.3891878128051758,0.2064181354779733,.,,,,,,$,True,False,Gaia DR3 390034814901709440,True,True
30,06319-0938,A   670,AB,2022.107,y,0.5396,0.0147,177.21,0.85,1.4,0.0722,:,3,1,Gaia DR3 3002971043795474176,,.,$,06 31 55.31 -09 38 11.8,8.6,9.1,15.0,-38.0,$,$,NO,40.85339643163099,$,97.98045833333332,-9.636611111111112,97.98046573366896,-9.63676082232883,97.98052595421208,-9.636779999990797,97.98053335457772,-9.636929711208516,!,Gaia DR3 3002971043795474176,8.363347,,0.2366533279418945,0.0835161169085055,.,,,,,,$,True,False,Gaia DR3 3002971043795474176,True,True
31,07309+3034,A   673AB,AB,2022.1669,y,0.3229,0.0013,345.94,0.23,0.6,0.0,:,1,1,Gaia DR3 891766056829306368,Gaia DR3 891766056828534400,.,.,07 30 54.90 +30 34 26.2,9.24,9.58,-6.0,-15.0,$,$,N,16.15549442140351,$,112.72875,30.57394444444444,112.7287246912103,30.5740314518072,112.72871902732756,30.57387777777513,112.7286937185101,30.5739647851379,!,Gaia DR3 891766056829306368,9.122552,,0.1174478530883789,0.0965559728721116,.,Gaia DR3 891766056828534400,9.431487,,0.1485128402709961,0.0831086465875269,.,True,True,Gaia DR3 891766056829306368,True,True
32,07446+3107,A   674,AB,2022.1096,y,1.0486,0.0024,122.8,0.13,2.0,0.0,:,1,1,Gaia DR3 880048041725384064,Gaia DR3 880048046016255104,.,.,07 44 38.11 +31 06 50.1,8.21,9.77,-3.0,-12.0,-3.0,-12.0,,12.36931687685298,12.36931687685298,116.15879166666666,31.11391666666667,116.1590776450212,31.11375887878723,116.15877609292784,31.113863333333224,116.15906207130828,31.1137055454538,,Gaia DR3 880048041725384064,8.10382,10.802616,0.106180191040039,0.1444947785027576,.,Gaia DR3 880048046016255104,9.868108,,0.0981073379516601,0.1394056346076205,.,True,True,Gaia DR3 880048041725384064,True,True
33,20210+4437,A   725,AB,2021.8026,y,0.9008,0.0,28.13,0.01,0.8,0.05,q,6,2,Gaia DR3 2081388160068434048,Gaia DR3 2081388160059813120,.,.,20 20 57.88 +44 36 29.7,9.46,10.23,-145.0,49.0,$,$,NO,153.05554547287727,$,305.24116666666663,44.60824999999999,305.24133237745787,44.608470665884525,305.24026144925085,44.60846777419934,305.24042715660306,44.60868844008385,!,Gaia DR3 2081388160059813120,9.765092,152.31125,0.3050918579101562,1.5563060504342925,.,Gaia DR3 2081388160068434048,9.091926,164.7755,1.1380739212036133,2.1234417552440408,.,False,False,Gaia DR3 2081388160068434048,False,True
34,20335+4703,A   738AB,AB,2021.7152,y,2.5169,0.0,247.52,0.0,2.8,0.0,,1,1,Gaia DR3 2071586112684243328,Gaia DR3 2071586116976482688,.,.,20 33 30.77 +47 02 58.0,9.26,11.04,0.0,-7.0,$,$,,7.0,$,308.3782083333333,47.04944444444444,308.37726022423465,47.04917711714748,308.3782083333333,47.04941333333381,308.37726022423465,47.04914600603684,!,Gaia DR3 2071586112684243328,9.200891,5.5238266,0.0591096878051757,0.1153428258390925,.,Gaia DR3 2071586116976482688,10.931344,5.7699685,0.1086559295654296,0.2044490355076718,.,True,True,Gaia DR3 2071586112684243328,True,True
35,21056+6030,A   758AB,AB,2021.8053,V,0.3382,0.0236,122.88,1.4,1.0,0.0693,:,3,1,Gaia DR3 2192468383843943168,,.,$,21 05 34.47 +60 29 33.5,9.89,10.76,6.0,4.0,$,$,O,7.211102550927978,$,316.393625,60.49263888888889,316.3937851820071,60.49258788810756,316.393679141656,60.49265666665543,316.39383932357794,60.492605665874095,!,Gaia DR3 2192468383843943168,9.710345,,0.1796550750732422,0.1057946038946974,.,,,,,,$,True,False,Gaia DR3 2192468383843943168,True,True
36,21056+6030,A   758AB,AB,2021.7808,y,0.4258,0.0161,132.44,4.37,1.0,0.4546,:,9,3,Gaia DR3 2192468383843943168,,.,$,21 05 34.47 +60 29 33.5,9.89,10.76,6.0,4.0,$,$,O,7.211102550927978,$,316.393625,60.49263888888889,316.3938022196382,60.49255907282607,316.393679141656,60.49265666665543,316.39385636116094,60.492576850592606,!,Gaia DR3 2192468383843943168,9.710345,,0.1796550750732422,0.1057946038946974,.,,,,,,$,True,False,Gaia DR3 2192468383843943168,True,True
37,21056+6030,"A   758AB,C","AB,C",2021.7453,y,8.6053,0.1208,189.84,1.65,5.8,1.52,:,3,1,Gaia DR3 2192468383843943168,Gaia DR3 2192468276467448192,.,.,21 05 34.47 +60 29 33.5,9.45,14.0,5.0,5.0,$,$,,7.071067811865476,$,316.393625,60.49263888888889,316.3927956649801,60.49028369021415,316.3936701180528,60.49266111110317,316.3928407797561,60.4903059124284,!,Gaia DR3 2192468383843943168,9.710345,,0.260345458984375,0.0984238652147166,.,Gaia DR3 2192468276467448192,13.256868,9.429341,0.7431316375732422,0.2057086732684601,.,True,True,Gaia DR3 2192468383843943168,True,True
38,23576+4804,A   799,AB,2021.6938,y,2.082,0.0009,191.19,0.03,0.3,0.0,*,1,1,Gaia DR3 1939557100018296192,Gaia DR3 1939557100018356608,.,.,23 57 33.14 +48 04 15.4,9.15,9.32,33.0,4.0,33.0,2.0,V,33.24154027718932,33.06055050963308,359.3880833333333,48.07094444444444,359.3879153742215,48.0703771056602,359.3883028253079,48.07096222201295,359.38813486373846,48.07038599433994,,Gaia DR3 1939557100018296192,9.058697,32.58983,0.0913028717041015,0.0435497660129233,.,Gaia DR3 1939557100018356608,9.271826,32.366787,0.0481739044189453,0.0115750651710754,.,True,True,Gaia DR3 1939557100018296192,True,True
39,03261+1229,A   829,AB,2021.8607,y,0.4976,0.0049,35.17,1.06,1.9,0.0707,:,2,1,Gaia DR3 16823936654644480,Gaia DR3 16823940949244160,.,.,03 26 08.81 +12 28 54.7,8.82,10.38,-72.0,-23.0,$,$,NO,75.58438992278762,$,51.53670833333334,12.481861111111112,51.536789877307946,12.481974100385235,51.53638058700969,12.481758888692667,51.53646213084123,12.481871877966784,!,Gaia DR3 16823936654644480,8.39341,,0.4265899658203125,0.5578602811675476,!,Gaia DR3 16823940949244160,8.535183,74.34338,1.8448171615600584,1.268161099120732,.,True,True,Gaia DR3 16823940949244160,False,False
40,03261+1229,A   829,AB,2022.0846,y,0.4879,0.0066,33.98,1.16,2.0,0.0499,q,3,1,Gaia DR3 16823936654644480,Gaia DR3 16823940949244160,.,.,03 26 08.81 +12 28 54.7,8.82,10.38,-72.0,-23.0,$,$,NO,75.58438992278762,$,51.53670833333334,12.481861111111112,51.53678591397173,12.481973495167448,51.53638058700969,12.481758888692667,51.53645816750577,12.481871272749,!,Gaia DR3 16823936654644480,8.39341,,0.4265899658203125,0.5578602811675476,!,Gaia DR3 16823940949244160,8.535183,74.34338,1.8448171615600584,1.2562405303138724,.,True,True,Gaia DR3 16823940949244160,False,False
41,05100+7541,A   841BC,BC,2022.1176,y,0.7877,0.0271,246.28,2.77,0.8,0.25,:,2,2,Gaia DR3 503713901913847808,Gaia DR3 503713906209481600,.,.,05 09 57.42 +75 41 41.0,10.1,10.9,8.0,-52.0,$,$,,52.61178575186362,$,77.48925,75.69472222222224,77.48843927700676,75.69463420251165,77.48939389591324,75.69449111107144,77.48858317205311,75.69440309136087,!,Gaia DR3 503713901913847808,9.97514,50.55895,0.1248607635498046,0.4135317082308644,.,Gaia DR3 503713906209481600,10.407293,47.84344,0.492706298828125,0.516784454977495,.,True,True,Gaia DR3 503713901913847808,True,True
42,00245+5632,A   908,AB,2021.9148,y,0.3415,0.0022,246.67,0.36,0.5,0.0,:,1,1,,,$,$,00 24 31.54 +56 32 19.5,10.4,10.19,4.0,-2.0,4.0,-2.0,,4.47213595499958,4.47213595499958,6.1314166666666665,56.53875,6.13125868809879,56.53871243240064,6.131448909407768,56.53874111110708,6.131290930807904,56.53870354350771,,Gaia DR3 421366738770523520,10.194515,5.2851634,0.205484390258789,0.074083306319155,!,Gaia DR3 421366738760910976,10.247467,,0.0574674606323242,0.1526928354448742,.,False,False,Gaia DR3 421366738770523520,True,False
43,00508+3203,"A   922Aa,Ab","Aa,Ab",2021.9601,y,0.5985,0.0035,334.21,0.42,0.4,0.05,:,6,2,,,$,$,00 50 50.92 +32 02 58.2,9.61,9.77,-9.0,-70.0,-9.0,-70.0,NO,70.57619995437555,70.57619995437555,12.712166666666665,32.0495,12.71208132921937,32.04964969059358,12.71211947419722,32.04918888888497,12.712034136672733,32.04933857947856,,Gaia DR3 360908442640283776,9.503523,68.35008,0.1064767837524414,0.1107312604429263,!,Gaia DR3 360908442640961536,9.567051,65.456856,0.2029495239257812,0.121196921949749,.,False,False,Gaia DR3 360908442640283776,True,False
44,01011+6022,A   926,AB,2021.8795,y,0.381,0.0015,179.98,0.23,1.3,0.0,:,1,1,Gaia DR3 426478059093070080,,.,$,01 01 06.49 +60 21 30.4,9.23,8.65,22.0,-19.0,22.0,-19.0,O,29.068883707497267,29.068883707497267,15.277041666666664,60.35844444444445,15.277041741362874,60.35833861111756,15.277239367812005,60.35835999985469,15.277239441866469,60.3582541665278,,Gaia DR3 426478059093070080,8.252422,,0.9775772094726562,0.0751743351325505,.,,,,,,$,True,False,Gaia DR3 426478059093070080,True,True
